,Review Id,Content,ID
69,10,As i mentioned before this is a daraz exclusive 128gb version which is not available in the offline market thank you so much.,6
70,11,Thanks seller,6
71,12,"very nice phone! comes with charger, screen protector, back cover. Charging is really fast and battery last around 2 days. I think it's the best phone in this price if you are not into camera that much.",6
72,13,#11.11 This phone is amazing... Very fast speed...,6
73,14,"Best purchase having PTA Approved and seal pack thanks for good price and good mobile, i purchased it because of daraz verified tag",6
74,15,"Express Delivery Bhi 3din men mili Karachi men, seller response nhi karta. but product acha hai. pin packed hai. jo order kia whi mila. 8/128",6
75,1,"phone is damaged from edges, pictures uploaded",7
76,2,Same As Described original product found in reasonable price than Market,7
77,3,"I ordered phone in black color but they sent me in Green color. After doing so, he stopped seeing my msgs. Such a ridiculous customer service. I’m completely disappointed over this.",7
78,4,#11.11 Ordered grey colour but received green. Green is also a very good colour. Product is very good. The price is also very reasonable as compared to the market.,7
79,5,Same As Described original product found in reasonable price than Market,7
80,6,thanks 👍 good product 👍 colour black kaha tha but green Mila anyway so NYC colour fade,7
81,7,so beautiful so elegant just looking like a waooo😔😔😔,7
82,8,Best purchase of the year so far! great refresh rate and works seamlessly! Hope I can upgrade to the pro version.,7
83,9,Product is good and reasonable. Delayed delivery.,7
84,10,brand new and perfectly packed. satisfied!,7
85,11,took at best price but rider is worst. three time they put fake attempt on system.,7
86,12,The product is awesome but I buy grey color and seller send me mint green color,7
87,13,Perfectly delivered.,7
88,14,abey bhai mjhe tou mla hi nhi abhi tlk piece kha delivered kia hai?,7
89,15,delivery time too long and Seller does not respond to messages,7
90,1,"Dear Seller, The cell phone is the same as shown, and also, thanks for the quick delivery. Thums Up",8
91,2,we'll packed box pack ram 4+3 rom 128gb reason able price just 1 issue net of out of warranty status show ho raha hy,8
92,3,"thankx daraz, thankx saller, boht fast delivery, Jo model order Kya same wohi mila aur deliver very very fast good 👍 packing",8
93,4,Assalamu alaikum i happy to have that mobile thank you for discount seller service is very impressive deliver timely as they promised and there response was very quick thank you for your Service...,8
94,5,السلام علیکم ماشاءاللہ مجھے موبائل مل گیا ھے بہت ہی شاندار موبائل ھے اور سیلر بھی بہت کوآپریٹیو ھے پیکنگ بھی زبردست تھی اور جو چیز منگوائی وہی بھیجی بہت شکریہ,8
95,6,"Recieved as promised by seller, i demanded blue color which was out of stock but the seller not only arranged it but sent it through TCS which delivered in two days only. Wish more sellers are like this on daraz. Highly recommended ✌️👌👍",8
96,7,"thankx daraz, thankx saller, boht fast delivery, Jo model order Kya same wohi mila aur deliver very very fast good 👍 packing",8
97,8,both Acha phone ha seller both cooperative ha .......seller ne itni jaldi delivery Karwa di only in 2 days ...I really like it 🥰,8
98,9,Ali Communication (Khanewal) delivered 100% genuine product Redmi 12C 4GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty. MASHALLAH the supplier is really honest and I am really happy to receive it. Swift Delivery. Amazing Service. Highly recommended. JAZAKALLAH.,8
99,10,Received my order. 👍👍Very cooperative dealer/seller.Received as shown in the picture with all other accessories.The phone is working smoothly. Thank you so very much.Highly recommended👏will again buy something from your store soon insha'Allah.😊,8
100,11,great seller fastest delivery I highly recommend that I received ❤️💯,8
101,12,🫡🫡🫡🫡,8
102,13,"Thank you for this great quality product. Delivery was quicker than expected, and product itself was exactly as advertised. Keep up the good work. , 👍👍",8
103,14,thankful to daraz seller,8
104,15,recieved before time. seller respomce was quick and delivery was fast. set is pin packed with pta seal. had great experience ordering from here.,8
105,1,"The phone is original in good condition but the delivery system of daraz is very slow, In 2 weeks i got this mobile overall it's a good phone. i will recommend",9
106,2,Original phone seller response is satisfactory delivery is a little late but overall a good experience . Thanks seller and daraz.,9
107,3,mobile was box packed looks new. let's see it's working .. recommended and will update this after 6months,9
108,4,Original product received. Good product in reasonable price.,9
109,5,Same product as shown in description amzaing,9
110,6,Zabardast cheez...,9
111,7,Mashallah... Thank you so much Daraz... Good Product Zabardast Product hai.. Outstanding Thanks Daraz.....❤️ #11 11 #11.11,9
112,8,sooooper thanks to Daraz Seller,9
113,9,Original mobile hai tech sirat ki warranty k sath pin pack delivered in time,9
114,10,the product is good in quality. and is same as shown. I recommend. but one thing is hands free is not held.,9
115,11,Received in perfect condition,9
116,12,boaht zabardast.great product,9
117,13,product is very good quality but delivery was very late,9
118,14,Great Daraz 11.11 Sale Nice Daraz Great Service Great Price,9
119,15,Original Product but delivery is late.. anyhow Mob is Good.,9
120,1,Mashallah 11.11 Sale Received safe packed PTA approved Dilivered in time response excellent Great Quality Satisfied original item received thanks seller and Daraz 👍👍😁😊,10
121,2,Quality is good. Original product. Non activated,10
122,3,"The product is good but made in Pakistan and the Warranty card is unavailable. Seller, please guide regarding the Warranty card. Thanks",10
123,4,Good Product delivered with seal pack Thanks Daraz,10
124,5,good product. well packed.,10
125,6,👍,10
126,7,#11.11,10
127,8,"original mobile with all sealed, pta approved recommended 👍",10
128,9,bohat acha Hy original 💯 ok set no active seller bahi boaht aala phone 📱 acha Hy Jo btya wo diya I'm Soo happ,10
129,10,Pin pack.. With charger and cable... Thanks seller for such an amazing product in cheap price,10
130,11,"#11.11 Thanks to daraz and HBL mega deal I got this phone in very good discount, and thanks to Seller for sending original product, But Unfortunately Samsung is not providing good display in A04 which is not good , Other than this unpleasant display everything is qood",10
131,12,mashallah deliver same mobile as shown in daraz mega deal,10
132,13,big Discount mila 11.11 m nice hbl,10
133,14,Excellent product in given price.,10
134,15,Original Packing On time delivery Thanks Daraz,10
135,1,1 . Look & Design: Phone is awesome in look very beautiful design. Feels like premium flagship 2. Performance : Satisfactory 3. Battery : Awesome 4. Front Camera Average 5. Back Camera : Good but not excellent 6. Over all : Value for money. Recommended this item.,11
136,2,بہت ہی اچھا موبائل ہے اور بہت پیاری پیکنگ ہے بیسٹ کوالٹی کا موبائل ہے اور بہت ہی کام قیمت میں,11
137,3,1. Look & Design : Phone is awesome in look ver beautiful design. Feels like premium flagship 2. Performance : satisfactory 3. Battery : Awesome 4. Front Cam: Average 5. Back Camera: good but not excellent 6. Over all: value for money. Recommended in tgis price segment,11
138,4,I like the product its non active device and nicely company packed. I Always order from your store. 👍 thanks i received samecolor as i want,11
139,5,بہت ہی اچھا موبائل ہے اور بہت پیاری پیکنگ ہے بیسٹ کوالٹی کا موبائل ہے اور بہت ہی کام قیمت میں,11
140,6,"Product was delivered within two days, Alhamdolillah I received the same phone as they promised. I was worried about the delivery of the product but the seller was very cooperative. Thankyou again. I am unable to share my phone's pictures because i captured them from my old phone, and unfortunately its battery is dead, (the reason i bought this phone). I would definitely recommend people to buy from AlhamdoLillah Traders Co. They are trusted 😃, From: Dera Ismail Khan.",11
141,7,"Trusted Vendor, Responsive.. well packed received in a very good condition.. a Very beautiful Mobile phone, haven't used yet but Hope it would work great... thanks Seller",11
142,8,"I Give 5 Star Rating on this product. The seller is very cooperative, honest, friendly and has fast delivery service. Give me the original product. same as show in add. Thanks seller and thanks Daraz.",11
143,9,So i ordered white color accidentally but mene seller ko chat me kh dia k mugha green chahiya and he said ok but seller ne bhi galti se white bhj dia. Jb mugha deliver hua to mene unse contact kia and unho ne mugha replace krna ki offer ki k ap is shop pr ja kr clr change krwa le. Amazing after sales. And the product i got is genuine box packed.,11
144,10,bat acha mobhil phone ha good service ha aor fast Delivery ha thank you draz and seller ❤❤,11
145,11,"Seller: I had a remarkable experience with this seller. They were highly responsive, and my order arrived in just 4 days, faster than the estimated 10-14 days. The phone was brand new, PTA approved, and well-packaged. Phone: Impressive The phone is excellent. It excels in camera quality, touch sensitivity, screen resolution, and speed, all receiving a perfect 10/10 rating. The only drawback is the 5000mAh battery's faster drain.",11
146,12,"Honest seller and a good one, seller should dispatch the phone on next working day or in 2 days. Mine was dispatched a bit later but thankfully leopard didn’t take much time to deliver. I collected it myself on Saturday else could have been Monday.",11
147,13,yar boht jaldi receive hwa boht acha mob Mila boht he acha Banda ha yar jis na Bajha boht respect sa bat karta Hain or reply bi fast ha or Jo Kuch kah doo bai kar deta boht trusted Banda ha 3rd mob ha Jo is bai sa order karwa raha hamesha original Mila Masha Allah Allah inhain kamiyab Kara ameen,11
148,14,Orignal Mobile Phone PTA Approved Non Acctive Fast Delivery Service Thanks For Seller And Daraz Online Shopping,11
149,15,got my phone I am already a fan of daraz satisfaction level infinity,11
150,1,very very beautiful mobile ..i very happy.. price b okk.thanks daraz and seller ..thanku,12
151,2,thank you Daraz. kam price m achi chiz. saller bht acha h. mobile bht acha h. jaisa dikha waisa paya,12
152,3,Awesome mobile recieved on time very fast processor lovely color seller are very cooperative totally satisfied 👌👍,12
153,4,very very beautiful mobile ..i very happy.. price b okk.thanks daraz and seller ..thanku,12
154,5,it's fantastic very beautiful mobile and seller is very honest,12
155,6,use kr ka chk Kiya ha boht acha ha mbl phone delivery time hui ha colour boht pyra ha thanks seller,12
156,7,wow what a phone im. surprised when i saw this phone infinix has no competetion with spark neo7 ultra its an amazing phone very impressive and build quality in this price range top class specialy camera believe u will be very happy to buy this phone dnt think read my. coment and order it .. thanks for comfortablr and safe service,12
157,8,It was good experience seller is also cooperative. Recommended person.,12
158,9,I ordered Blue colour Received Yellow colour...Baki Phone to ok hai market price Sy kafi Sasta Mila...11:11 sale Sy pin pack hi bahja...thank U daraz...Thank u Seller 🥰,12
159,10,The mobile is exact as shown in advertisement. received a little bit late but that was the problem of TCS I'm satisfied. Thanks seller. Thanks Daraz,12
160,11,"i,m v.happy bohut acha mobile ha jesa dikhaya ha wessa hi ha .i,m satisfied.Thanks draz Thanks dealer.❤️",12
161,12,Superb,12
162,13,"Excellent beautiful mobile received, great feel. Seller is responsive and cooperative.",12
163,14,Thankyou seller and daraz. Quick and safe delivery. product is ok👍,12
164,15,"packed well, and at lowest price 👍👍 add more products",12
165,1,Amazing phone within the discounted price of #11.11 I would recommend everyone if you are looking to get the basics done alright and don’t want to spend too much this is the right choice. Quality is not cheap like other phones in this budget. However I do have one complaint as the phone down have a case in the box and no warranty card. #11.11,13
166,2,i am using this mobile for 5 days now. best mobile for basic tasks like whatsapp call youtube etc. i received it on 11.11 sale at price 15k which is too good deal. everyone appriciate its look. working smooth and battery timing is too good. 👍,13
167,3,"Received Brand new box packed mobile. Quality Seems to be good. Performance is also fine. Excellent product, Original and value for Money.",13
168,4,"Received Brand new box packed mobile. Quality Seems to be good. Performance is also fine. Excellent product, Original and value for Money.",13
169,5,Many thanks daraz team and same specs as in description and mobile is very well.. Its surprise gift to my mother and she is very happy after getting this 😍,13
170,6,beautiful cell.. original honor x5 seal peck..,13
171,7,nice products nice quality fast delivery,13
172,8,Mashallah bhoot acha phone ha or as price ma bhoot he best ha Thanks bahi Allah pak khouss rhky ap ko🥰,13
173,9,amazing product timely delivered highly recommend,13
174,10,"Reached safely with outstanding paking, beautiful set",13
175,11,Original Phone Good Price Thanks Daraz❤️,13
176,12,Perfect 💪,13
177,13,same and sent as shown.quality is as per price. #11.11,13
178,14,bht oSm mobile h itne paiso ki hisab se or saller b bht cooperative hai mne un se jo color bola unho ne same wohi color send kia.,13
